batter,innings,runs,balls_faced,highest_score,fours,sixes,strike_rate
Imran Tahir,8,33,37,13,5.0,0.0,89.1891891891892
Navdeep Saini,7,33,38,12,3.0,0.0,86.8421052631579
SB Dubey,3,33,21,25,3.0,2.0,157.14285714285714
D Salunkhe,3,33,24,26,5.0,0.0,137.5
Ravi Bishnoi,14,32,52,6,2.0,0.0,61.53846153846154
Basil Thampi,7,32,37,13,1.0,1.0,86.48648648648648
RJ Peterson,5,32,32,16,3.0,1.0,100.0
AT Carey,3,32,29,14,0.0,1.0,110.34482758620689
S Sriram,2,31,38,27,3.0,0.0,81.57894736842105
T Taibu,3,31,26,15,3.0,0.0,119.23076923076923
NS Naik,4,31,53,22,2.0,0.0,58.490566037735846
VH Zol,2,29,26,16,3.0,1.0,111.53846153846155
J Syed Mohammad,5,29,27,13,4.0,0.0,107.40740740740742
Arshdeep Singh,11,29,42,10,4.0,0.0,69.04761904761905
SB Jakati,5,28,30,13,3.0,0.0,93.33333333333333
AS Joseph,5,27,32,15,3.0,0.0,84.375
JM Kemp,2,26,25,22,1.0,1.0,104.0
AS Rajpoot,7,26,41,8,2.0,1.0,63.41463414634146
AS Roy,6,26,24,13,3.0,0.0,108.33333333333333
DJ Malan,1,26,26,26,1.0,1.0,100.0
MD Shanaka,3,26,26,17,2.0,1.0,100.0
NL McCullum,2,26,23,15,0.0,1.0,113.04347826086956
TL Seifert,3,26,26,21,4.0,0.0,100.0
